iter	Passed	Remaining
786	32394	8767
787	32439	8727
788	32472	8683
789	32511	8642
790	32555	8601
791	32613	8565
792	32656	8524
793	32697	8483
794	32732	8440
795	32770	8398
796	32815	8358
797	32855	8316
798	32896	8275
799	32933	8233
800	32971	8191
801	33007	8148
802	33042	8106
803	33088	8066
804	33125	8024
805	33166	7982
806	33199	7939
807	33242	7899
808	33276	7856
809	33312	7813
810	33358	7774
811	33400	7733
812	33433	7690
813	33478	7649
814	33515	7607
815	33553	7565
816	33605	7527
817	33646	7486
818	33681	7443
819	33720	7402
820	33761	7360
821	33804	7320
822	33848	7279
823	33893	7239
824	33934	7198
825	33971	7156
826	34005	7113
827	34051	7073
828	34095	7033
829	34134	6991
830	34170	6949
831	34207	6907
832	34249	6866
833	34280	6823
834	34323	6782
835	34363	6741
836	34401	6699
837	34433	6656
838	34476	6615
839	34522	6575
840	34563	6534
841	34609	6494
842	34668	6456
843	34708	6415
844	34744	6373
845	34785	6332
846	34829	6291
847	34861	6248
848	34896	6206
849	34930	6164
850	34969	6122
851	35015	6082
852	35057	6041
853	35102	6001
854	35151	5961
855	35189	5919
856	35229	5878
857	35273	5837
858	35311	5796
859	35356	5755
860	35401	5715
861	35436	5673
862	35483	5632
863	35523	5591
864	35564	5550
865	35609	5509
866	35648	5468
867	35707	5430
868	35752	5389
869	35797	5349
870	35833	5307
871	35876	5266
872	35922	5225
873	35957	5183
874	36004	5143
875	36044	5102
876	36088	5061
877	36129	5020
878	36173	4979
879	36209	4937
880	36253	4896
881	36291	4855
882	36330	4813
883	36361	4771
884	36405	4730
885	36450	4689
886	36488	4648
887	36527	4607
888	36571	4566
889	36614	4525
890	36656	4484
891	36708	4444
892	36746	4403
893	36792	4362
894	36834	4321
895	36871	4279
896	36914	4238
897	36953	4197
898	36993	4156
899	37027	4114
900	37072	4073
901	37108	4031
902	37154	3991
903	37198	3950
904	37240	3909
905	37285	3868
906	37324	3827
907	37369	3786
908	37410	3745
909	37452	3704
910	37494	3663
911	37535	3621
912	37576	3580
